Fiscal_Year,County,Program,Exemption_Category,Individuals_Receiving_Medicaid,Exempt_Individuals,Work_Required_Individuals,CER_1_Year,CER_2_Years,CER_3_Years,CER_4Plus_Years,CER_Percent,State
2023,Philadelphia,Medicaid B,Student,15098,6039,9059,407,922,328,480,60.0,Pennsylvania
2023,Allegheny,Medicaid B,Pregnant,7550,3020,4530,227,501,338,121,60.0,Pennsylvania
2023,Montgomery,Medicaid B,Disability,4926,1970,2956,288,106,756,759,60.01,Pennsylvania
2023,Bucks,Medicaid A,Disability,14500,5800,8700,387,838,556,160,60.0,Pennsylvania
2023,Delaware,Medicaid B,Disability,16228,6491,9737,137,646,990,881,60.0,Pennsylvania
2023,Lancaster,Medicaid A,Student,8985,3594,5391,947,720,624,858,60.0,Pennsylvania
2023,Chester,Medicaid C,Disability,10771,4308,6463,752,343,648,402,60.0,Pennsylvania
2023,York,Medicaid B,Disability,9883,3953,5930,396,939,330,357,60.0,Pennsylvania
2023,Berks,Medicaid C,Disability,14396,5758,8638,974,827,892,278,60.0,Pennsylvania
2023,Lehigh,Medicaid C,Pregnant,8108,3243,4865,569,735,273,232,60.0,Pennsylvania
2023,Westmoreland,Medicaid C,Student,11427,4570,6857,748,784,782,836,60.01,Pennsylvania
2023,Luzerne,Medicaid A,Student,14840,5936,8904,643,865,645,851,60.0,Pennsylvania
2023,Northampton,Medicaid C,Disability,6807,2722,4085,956,444,574,534,60.01,Pennsylvania
2023,Dauphin,Medicaid C,Disability,10586,4234,6352,631,796,953,483,60.0,Pennsylvania
2023,Erie,Medicaid C,Disability,15971,6388,9583,466,487,852,478,60.0,Pennsylvania
2023,Cumberland,Medicaid A,Pregnant,17119,6847,10272,857,825,886,673,60.0,Pennsylvania
2023,Lackawanna,Medicaid C,Disability,6611,2644,3967,178,631,622,292,60.01,Pennsylvania
2023,Washington,Medicaid A,Caretaker,7621,3048,4573,991,884,178,106,60.01,Pennsylvania
2023,Butler,Medicaid A,Pregnant,6923,2769,4154,125,171,300,465,60.0,Pennsylvania
2023,Monroe,Medicaid B,Disability,7970,3188,4782,573,250,680,943,60.0,Pennsylvania
2023,Beaver,Medicaid B,Pregnant,9136,3654,5482,840,893,840,227,60.0,Pennsylvania
2023,Centre,Medicaid A,Disability,7280,2912,4368,555,230,789,703,60.0,Pennsylvania
2023,Franklin,Medicaid A,Student,6761,2704,4057,898,493,528,977,60.01,Pennsylvania
2023,Lebanon,Medicaid C,Student,4493,1797,2696,322,601,355,803,60.0,Pennsylvania
2023,Schuylkill,Medicaid A,Caretaker,10628,4251,6377,605,952,716,606,60.0,Pennsylvania
2023,Cambria,Medicaid C,Student,16405,6562,9843,210,224,624,768,60.0,Pennsylvania
2023,Fayette,Medicaid B,Caretaker,10867,4346,6521,441,452,341,792,60.01,Pennsylvania
2023,Blair,Medicaid A,Pregnant,15560,6224,9336,936,863,328,239,60.0,Pennsylvania
2023,Lycoming,Medicaid A,Caretaker,12473,4989,7484,788,637,976,901,60.0,Pennsylvania
2023,Mercer,Medicaid C,Disability,16744,6697,10047,827,787,689,424,60.0,Pennsylvania
2023,Adams,Medicaid B,Pregnant,17087,6834,10253,531,980,434,607,60.0,Pennsylvania
2023,Northumberland,Medicaid C,Pregnant,10720,4288,6432,658,479,411,617,60.0,Pennsylvania
2023,Lawrence,Medicaid C,Student,5428,2171,3257,911,397,528,885,60.0,Pennsylvania
2023,Indiana,Medicaid A,Student,16165,6466,9699,525,520,374,867,60.0,Pennsylvania
2023,Crawford,Medicaid C,Pregnant,15780,6312,9468,664,982,147,449,60.0,Pennsylvania
2023,Somerset,Medicaid A,Pregnant,15615,6246,9369,109,483,156,415,60.0,Pennsylvania
2023,Columbia,Medicaid A,Student,12459,4983,7476,136,871,926,917,60.0,Pennsylvania
2023,Armstrong,Medicaid C,Student,16959,6783,10176,264,606,496,185,60.0,Pennsylvania
2023,Venango,Medicaid C,Student,12771,5108,7663,490,106,310,153,60.0,Pennsylvania
2023,Bedford,Medicaid C,Student,9468,3787,5681,608,910,464,733,60.0,Pennsylvania
2023,Mifflin,Medicaid A,Disability,10485,4194,6291,497,802,282,489,60.0,Pennsylvania
2023,Perry,Medicaid A,Pregnant,5582,2232,3350,644,777,811,419,60.01,Pennsylvania
2023,Union,Medicaid C,Caretaker,6502,2600,3902,829,532,393,423,60.01,Pennsylvania
2023,Warren,Medicaid B,Disability,13431,5372,8059,858,822,744,403,60.0,Pennsylvania
2023,Huntingdon,Medicaid A,Pregnant,11242,4496,6746,567,544,194,723,60.01,Pennsylvania
2023,Bradford,Medicaid B,Caretaker,15778,6311,9467,420,528,128,267,60.0,Pennsylvania
2023,Wayne,Medicaid A,Disability,17146,6858,10288,563,133,320,219,60.0,Pennsylvania
2023,Susquehanna,Medicaid C,Caretaker,13605,5442,8163,842,969,386,392,60.0,Pennsylvania
2023,Clarion,Medicaid C,Disability,16430,6572,9858,283,464,728,993,60.0,Pennsylvania
2023,Greene,Medicaid B,Caretaker,6794,2717,4077,812,262,138,422,60.01,Pennsylvania
2023,Tioga,Medicaid A,Pregnant,13868,5547,8321,808,240,638,297,60.0,Pennsylvania
2023,Jefferson,Medicaid B,Pregnant,5534,2213,3321,874,281,208,794,60.01,Pennsylvania
2023,McKean,Medicaid C,Disability,4813,1925,2888,855,866,714,774,60.0,Pennsylvania
2023,Snyder,Medicaid A,Caretaker,15919,6367,9552,150,352,768,310,60.0,Pennsylvania
2023,Wyoming,Medicaid A,Student,7919,3167,4752,292,245,276,393,60.01,Pennsylvania
2023,Montour,Medicaid B,Caretaker,8124,3249,4875,511,106,426,994,60.01,Pennsylvania
2023,Juniata,Medicaid B,Pregnant,11908,4763,7145,717,840,347,709,60.0,Pennsylvania
2023,Sullivan,Medicaid C,Caretaker,11649,4659,6990,775,739,574,826,60.01,Pennsylvania
2023,Forest,Medicaid B,Pregnant,14255,5702,8553,903,865,516,476,60.0,Pennsylvania
2023,Elk,Medicaid C,Disability,13578,5431,8147,323,658,486,190,60.0,Pennsylvania
2023,Cameron,Medicaid A,Caretaker,16286,6514,9772,700,847,414,701,60.0,Pennsylvania
2024,Philadelphia,Medicaid B,Pregnant,15098,6039,9059,873,353,124,240,60.0,Pennsylvania
2024,Allegheny,Medicaid B,Disability,7550,3020,4530,982,481,877,968,60.0,Pennsylvania
2024,Montgomery,Medicaid B,Disability,4926,1970,2956,213,933,970,961,60.01,Pennsylvania
2024,Bucks,Medicaid B,Disability,14500,5800,8700,821,731,170,185,60.0,Pennsylvania
2024,Delaware,Medicaid C,Disability,16228,6491,9737,539,246,376,484,60.0,Pennsylvania
2024,Lancaster,Medicaid A,Pregnant,8985,3594,5391,652,419,771,871,60.0,Pennsylvania
2024,Chester,Medicaid C,Caretaker,10771,4308,6463,799,443,285,989,60.0,Pennsylvania
2024,York,Medicaid A,Caretaker,9883,3953,5930,477,325,363,411,60.0,Pennsylvania
2024,Berks,Medicaid A,Caretaker,14396,5758,8638,527,565,356,500,60.0,Pennsylvania
2024,Lehigh,Medicaid C,Caretaker,8108,3243,4865,486,123,960,286,60.0,Pennsylvania
2024,Westmoreland,Medicaid C,Caretaker,11427,4570,6857,122,342,309,129,60.01,Pennsylvania
2024,Luzerne,Medicaid C,Pregnant,14840,5936,8904,261,672,892,176,60.0,Pennsylvania
2024,Northampton,Medicaid C,Student,6807,2722,4085,308,128,320,337,60.01,Pennsylvania
2024,Dauphin,Medicaid C,Disability,10586,4234,6352,328,360,266,967,60.0,Pennsylvania
2024,Erie,Medicaid B,Disability,15971,6388,9583,164,829,260,446,60.0,Pennsylvania
2024,Cumberland,Medicaid B,Disability,17119,6847,10272,966,503,797,201,60.0,Pennsylvania
2024,Lackawanna,Medicaid B,Pregnant,6611,2644,3967,849,267,960,157,60.01,Pennsylvania
2024,Washington,Medicaid C,Student,7621,3048,4573,206,340,405,522,60.01,Pennsylvania
2024,Butler,Medicaid C,Pregnant,6923,2769,4154,813,347,824,809,60.0,Pennsylvania
2024,Monroe,Medicaid C,Caretaker,7970,3188,4782,643,771,406,370,60.0,Pennsylvania
2024,Beaver,Medicaid A,Pregnant,9136,3654,5482,127,949,146,660,60.0,Pennsylvania
2024,Centre,Medicaid A,Pregnant,7280,2912,4368,900,548,211,383,60.0,Pennsylvania
2024,Franklin,Medicaid A,Caretaker,6761,2704,4057,884,319,184,152,60.01,Pennsylvania
2024,Lebanon,Medicaid C,Caretaker,4493,1797,2696,796,766,604,534,60.0,Pennsylvania
2024,Schuylkill,Medicaid B,Disability,10628,4251,6377,174,587,145,320,60.0,Pennsylvania
2024,Cambria,Medicaid C,Pregnant,16405,6562,9843,993,208,227,655,60.0,Pennsylvania
2024,Fayette,Medicaid B,Disability,10867,4346,6521,552,994,343,458,60.01,Pennsylvania
2024,Blair,Medicaid B,Caretaker,15560,6224,9336,153,592,398,985,60.0,Pennsylvania
2024,Lycoming,Medicaid B,Caretaker,12473,4989,7484,343,779,757,893,60.0,Pennsylvania
2024,Mercer,Medicaid C,Student,16744,6697,10047,739,874,337,615,60.0,Pennsylvania
2024,Adams,Medicaid A,Caretaker,17087,6834,10253,377,371,393,271,60.0,Pennsylvania
2024,Northumberland,Medicaid C,Student,10720,4288,6432,172,875,326,353,60.0,Pennsylvania
2024,Lawrence,Medicaid B,Student,5428,2171,3257,901,375,826,403,60.0,Pennsylvania
2024,Indiana,Medicaid B,Disability,16165,6466,9699,931,369,462,413,60.0,Pennsylvania
2024,Crawford,Medicaid C,Student,15780,6312,9468,703,624,367,170,60.0,Pennsylvania
2024,Somerset,Medicaid B,Student,15615,6246,9369,651,202,471,414,60.0,Pennsylvania
2024,Columbia,Medicaid C,Pregnant,12459,4983,7476,106,127,152,776,60.0,Pennsylvania
2024,Armstrong,Medicaid A,Caretaker,16959,6783,10176,411,218,801,355,60.0,Pennsylvania
2024,Venango,Medicaid C,Student,12771,5108,7663,225,549,701,446,60.0,Pennsylvania
2024,Bedford,Medicaid B,Caretaker,9468,3787,5681,406,937,138,514,60.0,Pennsylvania
2024,Mifflin,Medicaid C,Disability,10485,4194,6291,549,900,314,358,60.0,Pennsylvania
2024,Perry,Medicaid A,Student,5582,2232,3350,254,782,489,467,60.01,Pennsylvania
2024,Union,Medicaid C,Disability,6502,2600,3902,546,427,452,457,60.01,Pennsylvania
2024,Warren,Medicaid B,Disability,13431,5372,8059,783,363,869,701,60.0,Pennsylvania
2024,Huntingdon,Medicaid B,Pregnant,11242,4496,6746,765,754,750,240,60.01,Pennsylvania
2024,Bradford,Medicaid C,Student,15778,6311,9467,125,162,242,717,60.0,Pennsylvania
2024,Wayne,Medicaid A,Pregnant,17146,6858,10288,201,338,803,102,60.0,Pennsylvania
2024,Susquehanna,Medicaid C,Student,13605,5442,8163,374,556,497,298,60.0,Pennsylvania
2024,Clarion,Medicaid B,Student,16430,6572,9858,172,693,334,425,60.0,Pennsylvania
2024,Greene,Medicaid B,Pregnant,6794,2717,4077,372,638,203,534,60.01,Pennsylvania
2024,Tioga,Medicaid B,Pregnant,13868,5547,8321,141,670,757,298,60.0,Pennsylvania
2024,Jefferson,Medicaid B,Caretaker,5534,2213,3321,243,425,939,268,60.01,Pennsylvania
2024,McKean,Medicaid B,Caretaker,4813,1925,2888,212,441,486,736,60.0,Pennsylvania
2024,Snyder,Medicaid B,Caretaker,15919,6367,9552,733,574,687,140,60.0,Pennsylvania
2024,Wyoming,Medicaid B,Pregnant,7919,3167,4752,165,117,696,163,60.01,Pennsylvania
2024,Montour,Medicaid A,Disability,8124,3249,4875,1000,847,561,806,60.01,Pennsylvania
2024,Juniata,Medicaid B,Caretaker,11908,4763,7145,775,806,571,584,60.0,Pennsylvania
2024,Sullivan,Medicaid A,Student,11649,4659,6990,550,938,575,996,60.01,Pennsylvania
2024,Forest,Medicaid C,Caretaker,14255,5702,8553,406,529,368,119,60.0,Pennsylvania
2024,Elk,Medicaid B,Caretaker,13578,5431,8147,166,883,929,486,60.0,Pennsylvania
2024,Cameron,Medicaid B,Caretaker,16286,6514,9772,892,212,540,419,60.0,Pennsylvania
